category,rank,image_id,target_index,selection_score,selection_quantile,detector,frozen_score,frozen_iou,cam_candidate_score,cam_candidate_iou,energy_in_box,pointing_hit
good_prediction,1,6f47bae9-705f-41c8-8a28-d5cf88927b0e.png,0,0.8236339494984741,,faster_rcnn,0.9322068691253662,0.8236339494984741,0.9322068691253662,0.8236339494984741,0.33497492780491206,False
good_prediction,1,6f47bae9-705f-41c8-8a28-d5cf88927b0e.png,0,0.8236339494984741,,yolo11s,0.6475838422775269,0.8301891760425963,0.64453125,0.8228598962211461,0.1351277664852591,False
good_prediction,2,b52a4969-16fc-43c1-9d87-66392415d139.png,1,0.7931193506643591,,faster_rcnn,0.8738621473312378,0.8074582509217404,0.8738621473312378,0.8074582509217404,0.1283571025179477,False
good_prediction,2,b52a4969-16fc-43c1-9d87-66392415d139.png,1,0.7931193506643591,,yolo11s,0.4435264766216278,0.7931193506643591,0.4375,0.8066183854627191,0.15850207964609248,False
good_prediction,3,c5a8e91a-2d40-4355-91af-73abf5f0fdf1.png,1,0.7695864359736171,,faster_rcnn,0.8701565861701965,0.8012587819957911,0.8701565861701965,0.8012587819957911,0.08965649825331728,False
good_prediction,3,c5a8e91a-2d40-4355-91af-73abf5f0fdf1.png,1,0.7695864359736171,,yolo11s,0.41913217306137085,0.7695864359736171,0.421875,0.7695181867315811,0.15224470054985703,False
bad_prediction,1,a029f3a3-aed3-41ad-8255-262b8553cd06.png,,0.5516594648361206,,faster_rcnn,0.90473473072052,,0.90473473072052,,,
bad_prediction,1,a029f3a3-aed3-41ad-8255-262b8553cd06.png,,0.5516594648361206,,yolo11s,0.5516594648361206,,0.5390625,,,
bad_prediction,2,e4a25524-a786-4297-9bf5-40a13a357e4a.png,,0.4186874032020569,,faster_rcnn,0.8368880748748779,,0.8368880748748779,,,
bad_prediction,2,e4a25524-a786-4297-9bf5-40a13a357e4a.png,,0.4186874032020569,,yolo11s,0.4186874032020569,,0.4140625,,,
bad_prediction,3,4031034b-bb69-4102-8916-d47d7403db48.png,,0.41390669345855713,,faster_rcnn,0.8899121284484863,,0.8899121284484863,,,
bad_prediction,3,4031034b-bb69-4102-8916-d47d7403db48.png,,0.41390669345855713,,yolo11s,0.41390669345855713,,0.4140625,,,
failure_case,1,72de14b5-3dd0-4971-8fa2-137e4f91bb90.png,0,0.2822513284909411,0.2,faster_rcnn,0.001991652650758624,0.45976012896081625,0.001991652650758624,0.45976012896081625,0.04437069298337247,False
failure_case,1,72de14b5-3dd0-4971-8fa2-137e4f91bb90.png,0,0.2822513284909411,0.2,yolo11s,0.018028276041150093,0.10474252802106596,9.424984455108643e-07,0.7610278676500842,0.005487694267200326,False
failure_case,2,db798a1e-84b8-43ff-b4d5-990470c2579d.png,1,0.45973871395094357,0.5,faster_rcnn,0.0065134987235069275,0.6099433772090788,0.0065134987235069275,0.6099433772090788,0.0,False
failure_case,2,db798a1e-84b8-43ff-b4d5-990470c2579d.png,1,0.45973871395094357,0.5,yolo11s,0.00882759876549244,0.30953405069280837,1.55717134475708e-06,0.6212867140349365,0.0086752826562858,False
failure_case,3,81d9d146-e9bb-478b-aeed-c2431780030e.png,0,0.6110989031047638,0.8,faster_rcnn,0.1880256086587906,0.7665385971612708,0.1880256086587906,0.7665385971612708,0.01470411450923781,False
failure_case,3,81d9d146-e9bb-478b-aeed-c2431780030e.png,0,0.6110989031047638,0.8,yolo11s,0.11531034111976624,0.45565920904825674,7.486343383789062e-05,0.8568644364786516,0.039446286460050384,False
