processed_file,source_file,legacy_shift_id,display_name,scientific_class,scientific_class_definition,retained_use_class,reporting_family,shift_kind,interpretation,center_offset_fraction,width_multiplier,reference_full_scale_counts,relative_count_fraction,synthetic_full_scale_count_budget,gaussian_kernel_size,gaussian_sigma_pixels,before_minmax_mae_stored_units,before_minmax_nmae,before_minmax_rmse_stored_units,before_minmax_nrmse,before_minmax_changed_pixel_fraction,after_minmax_mae_uint8_units,after_minmax_nmae,after_minmax_rmse_uint8_units,after_minmax_nrmse,after_minmax_changed_pixel_fraction,minmax_mae_residual_ratio,minmax_cancellation_fraction,after_minmax_exact_pixel_identity
00eeb3c9-a892-4fac-a67a-aaa6cc7ffd5c.png,00eeb3c9-a892-4fac-a67a-aaa6cc7ffd5c.dcm,voi_center_lower,DICOM LINEAR center -15% of full-input-range width,A,DICOM display-transform sensitivity,A,display_transform,dicom_linear_window,Synthetic DICOM display-transform sensitivity; not a recovered display preset.,-0.15,1.0,,,,,,36.89567299621312,0.1446889137106397,37.34180514856474,0.14643845156299898,1.0,21.540425300598145,0.08447225608077703,23.658934285950753,0.09278013445470884,0.9973526000976562,0.5838198236093701,0.4161801763906299,False
00eeb3c9-a892-4fac-a67a-aaa6cc7ffd5c.png,00eeb3c9-a892-4fac-a67a-aaa6cc7ffd5c.dcm,voi_center_higher,DICOM LINEAR center +15% of full-input-range width,A,DICOM display-transform sensitivity,A,display_transform,dicom_linear_window,Synthetic DICOM display-transform sensitivity; not a recovered display preset.,0.15,1.0,,,,,,35.721447178697964,0.14008410658312928,36.345067337274806,0.14252967583245021,0.9979705810546875,18.733071327209473,0.07346302481258617,21.009889249623214,0.08239172254754201,0.9979152679443359,0.5244208397687959,0.47557916023120406,False
00eeb3c9-a892-4fac-a67a-aaa6cc7ffd5c.png,00eeb3c9-a892-4fac-a67a-aaa6cc7ffd5c.dcm,voi_width_narrow,DICOM LINEAR width x0.75,A,DICOM display-transform sensitivity,A,display_transform,dicom_linear_window,Synthetic DICOM display-transform sensitivity; not a recovered display preset.,0.0,0.75,,,,,,15.315141860821559,0.060059379846359055,17.555062184624312,0.06884338111617377,0.9979705810546875,14.736964225769043,0.057792016571643304,17.010285267397336,0.066707001048617,0.9770784378051758,0.962247973913217,0.037752026086782964,False
00eeb3c9-a892-4fac-a67a-aaa6cc7ffd5c.png,00eeb3c9-a892-4fac-a67a-aaa6cc7ffd5c.dcm,voi_width_wide,DICOM LINEAR width x1.25,A,DICOM display-transform sensitivity,A,display_transform,dicom_linear_window,Synthetic DICOM display-transform sensitivity; not a recovered display preset.,0.0,1.25,,,,,,10.947544295238192,0.04293154625583605,13.020161362189224,0.05105945632231068,1.0,0.0041103363037109375,1.6118965896905638e-05,0.06411190453972598,0.0002514192334891215,0.0041103363037109375,0.00037545738047379206,0.9996245426195262,False
00eeb3c9-a892-4fac-a67a-aaa6cc7ffd5c.png,00eeb3c9-a892-4fac-a67a-aaa6cc7ffd5c.dcm,poisson_dose_50pct,Poisson-like noise at relative count budget 0.50,D,physically unsupported for these stored values,B,poisson_like_intensity_noise,poisson_like_noise,Physically unsupported as dose/quantum noise for these stored values; retained as generic signal-dependent intensity sensitivity.,,,4096.0,0.5,2048.0,,,3.130081098061055,0.012274827835533549,4.093314164983438,0.016052212411699757,0.9979705810546875,3.172189712524414,0.012439959656958486,4.173363352252219,0.016366130793145955,0.88262939453125,1.0134528828947733,-0.01345288289477331,False
00eeb3c9-a892-4fac-a67a-aaa6cc7ffd5c.png,00eeb3c9-a892-4fac-a67a-aaa6cc7ffd5c.dcm,poisson_dose_25pct,Poisson-like noise at relative count budget 0.25,D,physically unsupported for these stored values,B,poisson_like_intensity_noise,poisson_like_noise,Physically unsupported as dose/quantum noise for these stored values; retained as generic signal-dependent intensity sensitivity.,,,4096.0,0.25,1024.0,,,4.4278439953923225,0.017364094099577735,5.78432733982591,0.022683636626768273,0.9979705810546875,4.46356201171875,0.017504164751838237,5.8481226590465685,0.02293381434920223,0.9154090881347656,1.0080666835515426,-0.008066683551542608,False
00eeb3c9-a892-4fac-a67a-aaa6cc7ffd5c.png,00eeb3c9-a892-4fac-a67a-aaa6cc7ffd5c.dcm,poisson_dose_12p5pct,Poisson-like noise at relative count budget 0.125,D,physically unsupported for these stored values,B,poisson_like_intensity_noise,poisson_like_noise,Physically unsupported as dose/quantum noise for these stored values; retained as generic signal-dependent intensity sensitivity.,,,4096.0,0.125,512.0,,,6.2416962664574385,0.024477240260617407,8.135841052389488,0.03190525902897838,0.9979705810546875,6.278120040893555,0.024620078591739432,8.192607887914992,0.03212787407025487,0.9395275115966797,1.0058355570154631,-0.005835557015463122,False
00eeb3c9-a892-4fac-a67a-aaa6cc7ffd5c.png,00eeb3c9-a892-4fac-a67a-aaa6cc7ffd5c.dcm,gaussian_kernel_3,"Gaussian blur 3x3, sigma 0.5 px",C,physics-motivated proxy,C,spatial_resolution_blur,gaussian_blur,Generic blur/spatial-resolution proxy; not a detector or reconstruction model.,,,,,,3,0.5,0.3428588424167933,0.0013445444800658562,0.5773411971605237,0.0022640831261197007,0.9963436126708984,6.006363868713379,0.023554368112601486,6.636973878515654,0.026027348543198645,0.9904699325561523,17.518474443811474,-16.518474443811474,False
00eeb3c9-a892-4fac-a67a-aaa6cc7ffd5c.png,00eeb3c9-a892-4fac-a67a-aaa6cc7ffd5c.dcm,gaussian_kernel_5,"Gaussian blur 5x5, sigma 1.0 px",C,physics-motivated proxy,C,spatial_resolution_blur,gaussian_blur,Generic blur/spatial-resolution proxy; not a detector or reconstruction model.,,,,,,5,1.0,0.9650301005046718,0.003784431766684987,1.654370220998303,0.006487726356856091,0.9637556076049805,7.5576019287109375,0.029637654622395832,8.461129902266155,0.033180901577514334,0.9904146194458008,7.831467562264241,-6.831467562264241,False
00eeb3c9-a892-4fac-a67a-aaa6cc7ffd5c.png,00eeb3c9-a892-4fac-a67a-aaa6cc7ffd5c.dcm,gaussian_kernel_9,"Gaussian blur 9x9, sigma 2.0 px",C,physics-motivated proxy,C,spatial_resolution_blur,gaussian_blur,Generic blur/spatial-resolution proxy; not a detector or reconstruction model.,,,,,,9,2.0,1.5133502070471012,0.0059347066943023575,2.634051793628964,0.01032961487697633,0.9723358154296875,7.994566917419434,0.03135124281340954,9.097560595430878,0.035676708217375994,0.9850864410400391,5.282694567451572,-4.282694567451572,False
